연도,전국,수도권,서울,강남,강북
2000,11.1,13.9,13.8,12.5,15.0
2001,16.4,20.0,18.7,21.0,16.1
2002,10.1,9.5,10.8,11.8,9.8
2003,-1.4,-3.3,-3.9,-3.0,-4.8
2004,-5.0,-7.2,-7.2,-7.5,-7.0
2005,3.0,3.8,2.3,4.7,-0.1
2006,6.5,10.4,9.8,10.1,9.6
2007,2.6,3.7,3.7,2.2,5.4
2008,1.7,1.7,1.1,-1.2,3.5
2009,3.4,4.2,6.0,7.9,4.0
2010,7.1,6.3,6.4,7.6,5.1
2011,12.3,11.0,10.8,11.1,10.6
2012,3.5,2.1,2.1,2.4,1.8
2013,4.7,6.2,6.6,6.7,6.5
2014,3.4,4.8,3.6,3.3,3.8
2015,4.9,7.1,7.3,7.9,6.5
2016,1.3,2.0,2.0,1.8,2.1
2017,0.6,1.4,2.0,2.6,1.5
