연도,전국,수도권,서울,강남,강북
2000,0.4,2.3,3.1,4.4,1.4
2001,9.9,13.9,12.9,17.5,7.7
2002,16.4,21.8,22.5,27.4,16.3
2003,5.7,7.4,6.9,10.5,2.9
2004,-2.1,-2.9,-1.4,-1.6,-1.2
2005,4.0,5.1,6.3,9.4,3.3
2006,11.6,20.3,18.9,22.7,14.8
2007,3.1,5.6,5.4,2.6,8.7
2008,3.1,5.0,5.0,1.3,8.8
2009,1.5,1.2,2.7,3.4,1.9
2010,1.9,-1.7,-1.2,-1.0,-1.4
2011,6.9,0.5,0.3,0.3,0.3
2012,0.0,-3.0,-2.9,-3.5,-2.3
2013,0.3,-1.1,-1.4,-1.1,-1.7
2014,1.7,1.5,1.1,1.2,1.1
2015,3.5,4.4,4.6,5.2,3.9
2016,0.7,1.3,2.1,2.5,1.8
2017,1.5,2.4,3.6,4.4,2.9
