연도,전국,서울,대구,경기도
2000,8602,10119,8253,8865
2001,8964,10616,8481,9126
2002,9419,11185,8886,9672
2003,9848,11787,9261,9952
2004,10493,12493,9711,10554
2005,11198,13453,10482,11181
2006,11656,13955,10925,11583
2007,12407,15130,11562,12084
2008,12883,15401,12017,12592
2009,13173,15405,12315,12697
2010,14068,16495,13376,13592
2011,14706,17215,14183,14303
2012,15256,18018,14635,14773
2013,15799,18565,15047,15384
2014,16394,19104,15851,16131
2015,17222,19962,16686,17130
2016,17653,20506,16987,17752
