지 역,1987년,1988년,1989년,1990년,1991년,1992년,1993년,1994년,1995년,1996년,1997년,1998년,1999년,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년
전국,34.346,43.776,57.768,69.656,78.553,77.565,71.837,71.428,71.821,72.513,72.738,62.844,64.693,65.126,65.996,71.919,74.386,77.252,81.098,85.651,88.98,88.696,89.543,90.481,91.536,92.411,93.458,95.295,97.584,100.218,104.105
수도권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.241,92.871,93.839,95.629,97.726,100.201,104.031
지방,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90.266,91.597,92.79,94.705,97.333,100.246,104.226
대도시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89.723,90.648,91.309,92.444,94.686,97.307,100.247,104.631
시지역,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.05,92.277,93.375,94.348,95.805,97.803,100.19,103.645
군지역,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.046,92.954,93.985,94.878,96.239,98.097,100.195,103.429
서울(평균),29.428,37.686,50.305,66.01,73.374,71.331,65.115,64.232,64.348,64.955,65.143,54.555,56.01,56.038,57.105,66.127,69.582,72.422,77.176,84.253,89.209,88.317,89.549,90.022,90.892,91.236,92.337,94.795,97.344,100.239,104.564
종로구,36.878,42.342,53.925,69.787,74.018,72.083,67.866,67.548,67.656,68.389,68.909,57.085,58.798,58.492,59.533,69.441,72.459,75.463,79.628,86.698,91.758,90.615,91.3,91.755,92.529,92.794,93.91,96.174,98.005,100.16,103.449
중구,38.454,46.746,59.045,72.494,73.997,72.336,67.451,67.457,68.087,69.086,69.779,57.465,59.177,58.877,60.181,69.364,72.576,75.532,79.802,86.77,91.806,91.15,91.684,92.101,92.985,93.297,93.861,96.267,98.005,100.188,103.438
용산구,29.848,34.97,44.538,57.011,60.917,59.082,54.75,54.706,56.421,57.267,57.646,48.508,49.761,49.976,50.922,58.885,61.86,66.559,73.373,81.974,91.595,92.35,94.298,95.068,95.919,96.404,94.366,95.773,97.211,100.256,105.494
성동구,24.468,31.285,41.533,56.877,64.855,64.192,57.987,57.213,58.434,59.174,59.233,49.913,50.821,50.669,51.458,60.474,63.12,66.24,72.211,80.126,88.543,89.703,91.442,92.082,93.015,93.301,93.559,95.289,97.402,100.243,105.477
광진구,-,-,-,-,-,-,-,66.691,67.28,67.866,67.935,56.453,57.567,57.674,58.567,67.502,71.103,73.655,77.69,84.79,90.124,89.604,90.802,91.528,92.404,92.6,93.022,94.716,97.132,100.223,104.576
동대문구,33.52,43.066,55.394,68.763,76.199,73.398,67.643,66.908,66.988,67.627,68.101,57.644,58.904,58.492,59.486,67.601,71.05,73.747,79.171,86.084,91.454,91.234,92.146,92.521,93.41,93.751,94.258,95.541,97.694,100.209,104.212
중랑구,31.921,42.055,56.83,69.282,76.426,76.165,70.52,70.394,71.185,71.492,71.857,60.207,61.362,61.055,61.907,70.155,72.791,75.589,79.817,86.512,90.739,90.376,91.308,91.973,92.725,92.954,93.379,95.123,97.53,100.204,103.942
성북구,31.297,39.777,49.582,63.648,70.266,70.372,67.147,67.12,67.801,68.57,69.286,58.123,59.831,59.815,60.747,69.917,72.588,74.807,79.749,87.427,92.79,91.9,92.901,93.529,94.292,94.194,94.364,95.71,97.807,100.152,103.281
강북구,-,-,-,-,-,-,-,72.305,72.711,72.922,73.053,60.683,62.596,62.567,63.644,70.579,72.845,75.503,79.991,86.932,91.503,91.021,92.026,92.695,93.399,93.705,94.152,95.928,97.833,100.177,103.881
도봉구,29.249,39.747,52.999,74.703,82.368,81.957,74.968,74.309,75.19,76.058,76.316,64.562,66.394,66.181,67.36,74.085,77.027,79.608,82.954,88.313,91.887,91.598,92.677,92.939,93.591,93.837,94.039,95.599,97.693,100.242,103.666
노원구,23.732,32.169,47.23,67.317,77.302,76.165,72.174,71.642,71.856,72.658,72.932,61.141,62.889,62.83,64.215,71.266,74.282,76.85,80.32,86.954,91.054,90.857,92.008,92.454,93.116,93.414,93.748,95.086,97.433,100.244,104.605
은평구,35.328,44.597,58.474,70.172,76.654,73.124,67.096,66.088,65.981,66.338,66.557,56.208,58.039,58.244,59.35,68.232,70.591,74.081,79.795,87.148,91.499,91.19,91.714,92.198,92.949,92.862,93.584,95.938,97.936,100.155,103.475
