연도,전국,서울,대구,경기
2000,65.126,56.038,54.283,60.354
2001,65.996,57.105,55.476,61.508
2002,71.919,66.127,62.556,69.548
2003,74.386,69.582,65.592,73.108
2004,77.252,72.422,68.974,77.585
2005,81.098,77.176,73.139,81.968
2006,85.651,84.253,77.468,86.13
2007,88.98,89.209,81.111,89.77
2008,88.696,88.317,82.995,89.529
2009,89.543,89.549,83.828,90.619
2010,90.481,90.022,85.618,91.963
2011,91.536,90.892,87.297,93.315
2012,92.411,91.236,89.307,94.284
2013,93.458,92.337,91.256,95.144
2014,95.295,94.795,93.866,96.321
2015,97.584,97.344,96.668,97.99
2016,100.218,100.239,100.377,100.176
2017,104.105,104.564,107.407,103.632
